Date,Operator,Aboard,Fatalities
02/02/1953,Lancashire Aircraft Corporation (Skyways),39,39
02/03/1953,Air Outremer,18,18
02/07/1953,Autrex,20,5
02/14/1953,National Airlines,46,46
03/03/1953,Canadian PacifiAir Lines,11,11
03/04/1953,Slick Airways,2,2
03/14/1953,Orient Airways,16,16
03/17/1953,Aigle Azur,8,8
03/20/1953,Transocean Air Lines,35,35
03/27/1953,Transportes Aéreos Salvador,14,14
03/29/1953,Central African Airways,13,13
04/10/1953,Caribbean International Airways,13,13
04/10/1953,Air France,4,4
04/14/1953,Airways,3,3
04/14/1953,Miami Airlines,25,7
04/16/1953,Aigle Azur,30,30
04/20/1953,Western Airlines,10,8
05/02/1953,British Overseas Airways,43,43
05/09/1953,Air India,18,18
05/11/1953,Canadian PacifiAir Lines,19,2
05/17/1953,Delta Air Lines,20,19
05/25/1953,KLM Royal Dutch Airlines,34,0
06/15/1953,LAN,7,7
06/15/1953,LACSA,14,11
06/16/1953,Aigle Azur,34,34
06/17/1953,Panair do Brasil,17,17
07/12/1953,Transocean Air Lines,58,58
07/27/1953,Aeroflot,21,21
09/29/1955,Associated Airways,2,1
08/03/1953,Air France,42,4
08/03/1953,Orient Airways,25,1
08/18/1953,Aerovias Contreras,2,2
09/01/1953,Air France,42,42
09/01/1953,Regina Cargo Airlines,21,21
09/08/1953,TACA,3,3
09/14/1953,Transportes Aéreos Mexicanos,2,1
09/16/1953,American Airlines,28,28
09/25/1953,Devlet Hava Yollari,21,5
09/28/1953,Resort Airlines,41,25
10/14/1953,Sabena,44,44
10/17/1953,Compagnie Sila,7,2
10/19/1953,Aerovias Contreras,21,21
10/19/1953,Eastern Air Lines,27,2
10/29/1953,British Commonwealth PacifiAirlines,19,19
11/03/1953,Lloyd Aereo Boliviano,28,28
12/04/1953,Aviaco,33,23
12/12/1953,Indian Airlines,14,13
12/19/1953,Sabena,44,1
12/21/1953,Syrian Airways,15,9
01/02/1954,Ariana Afghan Airlines,21,21
01/05/1954,Devlet Hava Yollari,10,4
01/10/1954,British Overseas Airways,35,35
01/11/1954,AVIANCA,21,21
01/14/1954,Philippine Air Lines,16,16
01/14/1954,Ceskoslovenske Aerolinie,15,15
01/20/1954,Zantop Air Transport,3,3
02/25/1954,Indian Airlines,3,3
02/26/1954,Western Airlines,9,9
03/13/1954,British Overseas Airways,40,33
03/14/1954,Queensland Airlines,2,2
03/26/1954,Aeronaves de Mexico,18,18
04/03/1954,Devlet Hava Yollari,25,25
04/04/1954,Autrex,4,4
04/08/1954,British Overseas Airways,21,21
04/08/1954,Trans Canada Air Lines / RCAF,36,36
04/13/1954,LAN,16,16
04/13/1954,Societe Indochinoise de Raviteillement,23,16
04/23/1954,Aerolineas Argentinas,25,25
04/30/1954,Darbhanga Aviation,11,5
05/22/1954,New Zealand National Airways,28,3
05/31/1954,Transportes Aereos Nacionales,19,19
06/03/1954,Sabena,4,1
06/04/1954,Varig,3,3
06/08/1954,Soc. de Tr. Aériens d'Extrême Orient,4,4
06/19/1954,Swissair,9,3
07/23/1954,Cathay PacifiAirways,18,10
08/08/1954,Alaska Airlines,2,2
08/09/1954,AVIANCA,30,30
08/12/1954,Autrex,3,3
