Date,Operator,Aboard,Fatalities
07/01/1963,Varig,18,15
07/02/1963,Mohawk Airlines,43,7
07/03/1963,New Zealand National Airways,23,23
07/13/1963,Aeroflot,35,35
07/15/1963,Air Madagascar,12,6
07/17/1963,Air America,6,6
07/27/1963,United Arab Airlines,63,63
08/12/1963,Air Inter,20,20
08/14/1963,American Air  Export & Import Co.,2,1
08/17/1963,Fujita Koku Kabushki Kai,19,19
08/21/1963,Aeroflot,52,0
09/04/1963,Swissair,80,80
09/11/1963,Air Nautic,40,40
09/11/1963,Indian Airlines,18,18
10/09/1963,Aeronaves de Panama,6,6
10/14/1963,New York Airways,6,6
10/20/1963,Aeroflot,5,5
10/22/1963,British Aircraft Corporation,7,7
11/08/1963,Finnair,24,22
11/29/1963,Trans Canada Air Lines,118,118
12/07/1963,Zantop Air Transport,3,3
12/08/1963,Pan American World Airways,81,81
12/12/1963,Trans Mediterranean Airways,3,3
12/15/1963,Misrair,6,6
12/17/1963,Western Airlines,46,0
01/09/1964,Aerolineas Litoral Argentina,30,28
01/22/1964,Commercial Air Taxi,2,2
02/03/1964,Turkish Airlines (THY),3,3
02/03/1964,South Central Airlines,10,10
02/04/1964,Lloyd Aéreo Boliviano,29,2
02/08/1964,Private air taxi,4,4
02/15/1964,Commercial Air Taxi,4,4
02/21/1964,Philippine Air Lines,32,31
02/22/1964,Commercial Air Taxi,2,2
02/25/1964,Eastern Air Lines,58,58
02/27/1964,Fuji Airlines,42,20
02/29/1964,British Eagle International Airlines,83,83
03/01/1964,Paradise Airlines,85,85
03/08/1964,Taxi Aereo de Santander,28,28
03/08/1964,Snow Valley Ski Lines,30,1
03/10/1964,Slick Airways - Cargo,3,3
03/12/1964,Frontier Airlines,5,5
03/20/1964,Commercial Air Taxi,3,3
03/28/1964,Alitalia,45,45
03/28/1964,Private - Facilities Management Co.,9,9
04/12/1964,Aden Airways,15,15
04/17/1964,Middle East Airlines,49,49
04/17/1964,Wein Alaska Airlines Inc.,2,2
05/07/1964,PacifiAir Lines,44,44
05/08/1964,Fuerza Aérea Argentina,49,46
05/20/1964,Philippine Air Lines,11,11
05/27/1964,VASP,3,3
06/04/1964,Commercial Air Taxi,3,3
06/13/1964,Saudi Arabian Airlines,2,2
06/19/1964,Private - Air Taxi,5,2
06/20/1964,Civil Air Transport,57,57
06/21/1964,TASSA,28,1
07/07/1964,Commercial Air Taxi,5,5
07/08/1964,United Air Lines,53,1
11/23/1964,Trans World Airlines,73,50
07/09/1964,United Air Lines,39,39
07/14/1964,Commercial Air Taxi,3,3
07/16/1964,Eastern Air Lines,76,0
07/31/1964,Private,2,2
08/02/1964,Commercial Air Taxi,3,3
08/05/1964,Wiggins Airways,2,2
08/22/1964,Servicios Aéreos Cochabamba,4,4
09/02/1964,Aeroflot,87,87
09/04/1964,VASP,39,39
09/15/1964,AVIANCA,2,2
10/02/1964,Union des Transportes Aeriens,80,80
10/02/1964,Interocean,7,1
10/09/1964,Tarom,32,32
10/16/1964,Commercial Air Taxi,2,2
11/03/1964,Mustang Aviati,5,5
11/15/1964,Bonanza Airlines,29,29
09/27/1965,Air America,3,3
11/29/1964,Air Congo,14,6
12/04/1964,Commercial Air Taxi,5,4
12/08/1964,Aerolineas Abaroa,17,17
12/21/1964,Fleming Airways System Transport,39,1
12/24/1964,SATCO,23,1
12/24/1964,Flying Tiger Line,3,3
12/29/1964,Lineas Aéreas Sud Americana,5,5
12/30/1964,Zantop Air Transport,4,4
01/05/1965,Alva Aircraft Service - Taxi,3,3
01/13/1965,Fairbanks Air Service - Taxi,2,2
01/17/1965,Aerovias del Norte,10,10
02/03/1965,Air Cameroon,4,4
02/06/1965,LAN,87,87
02/08/1965,Eastern Air Lines,84,84
02/13/1965,Aerolineas El Salvador,2,2
02/14/1965,Zen Nippon,2,2
02/14/1965,Air Taxi,2,2
03/08/1965,Fairways,12,10
03/08/1965,Aeroflot,25,25
03/17/1965,Eastern Provincial Airways,8,8
03/22/1965,AVIANCA,28,28
03/26/1965,Pakistan International Airlines,26,22
03/31/1965,Iberia Airlines,53,50
04/09/1965,Ortner Air Service - Taxi,2,2
04/10/1965,Alia Royal Jordanian Airlines,54,54
04/14/1965,British United Airways,27,26
04/17/1965,Baker Aero Inc. - Taxi,2,2
04/23/1965,Aaxico Airlines,5,5
05/05/1965,Iberia Airlines,49,30
05/20/1965,Pakistan International Airlines,125,119
06/28/1965,Pan American World Airways,153,0
07/01/1965,Continental Airlines,66,0
10/08/1965,Pakistan International Airlines,4,4
07/08/1965,Canadian PacifiAir Lines,52,52
07/15/1965,Virgin Islands Airways,12,8
08/04/1965,Rutas Internacionales Peruanes,7,7
08/12/1965,Paraense Transportes Aéreos,13,13
08/16/1965,United Air Lines,30,30
08/20/1965,LOT Polish Airlines,4,4
09/04/1965,Cordova Airlines,5,4
09/11/1965,Filipinas Orient Airways,11,11
09/14/1965,Ethiopian Airlines,17,17
09/16/1965,TAO,11,9
09/16/1965,Air Vietnam (South Vietnam),39,38
09/17/1965,Pan American World Airways,30,30
10/17/1965,AVIANCA,19,19
10/17/1965,Kalinga Airlines,8,8
10/18/1965,International Control Commision,13,13
10/20/1965,Philippine Air Lines,37,1
10/27/1965,British European Airways,36,36
11/08/1965,Aerolineas TAO,30,30
11/08/1965,American Airlines,62,58
11/10/1965,Aeroflot,32,32
11/11/1965,United Air Lines,91,43
11/12/1965,Skyway Air  - Taxi,2,2
11/14/1965,Paul Kelly Flying Service Inc.,8,8
11/27/1965,Edde Airlines,13,13
12/04/1965,Trans World Airlines / Eastern Air Lines,112,4
07/11/1966,Aeropesca Colombia,8,8
12/07/1965,Spantax,32,32
12/12/1965,Air Taxi,2,2
12/16/1965,Air Manila,21,2
12/29/1965,Ray A. Gardner - Taxi,3,3
01/01/1966,Garuda  Indonesia Airlines / Garuda Indonesia Airlines,34,34
01/15/1966,AVIANCA,64,56
01/22/1966,COHATA,35,30
01/24/1966,Air India,117,117
01/27/1966,Devener Flying Service - Taxi,3,3
01/28/1966,Lufthansa,46,46
02/04/1966,All Nippon Airways,133,133
02/07/1966,Indian Airlines,37,37
02/08/1966,Beatty Flying Service - Taxi,2,2
02/15/1966,Indian Airlines,80,2
02/18/1966,Belgian International Air Services,4,4
03/04/1966,Canadian PacifiAir Lines,72,64
07/11/1966,Alamo Airways,3,3
03/05/1966,British Overseas Airways,124,124
03/08/1966,Bassett Complany - Taxi,6,6
03/10/1966,Trans Mediterranean Airways,5,5
03/18/1966,United Arab Airlines,30,30
03/20/1966,Servicios Americanos,2,2
04/05/1966,Layman Weikle - Taxi,2,2
04/17/1966,Continental Air Services,2,2
04/22/1966,American Flyers Airline,98,83
04/27/1966,LANSA,49,49
05/06/1966,Kurtzer Flying Service - Taxi,2,2
06/16/1966,Zantop Air Transport,3,3
06/20/1966,Nordair,2,2
06/27/1966,McCoy Flying Service - Taxi,12,2
06/27/1966,Lackey Aero Company - Taxi,4,4
06/29/1966,Philippine Air Lines,26,24
07/04/1966,Air New Zealand,5,2
07/24/1966,Private - Mainline Aviation,4,4
08/03/1966,Lloyd Aéreo Boliviano,3,3
08/06/1966,Braniff Airlines,42,42
08/11/1966,Tarom,24,24
08/13/1966,Aeronaves de Mexico,6,6
08/15/1966,NC Simpson - Taxi,4,4
08/16/1966,Richland Aviation  - Taxi,6,6
08/17/1966,Aerovias Halcon,16,1
08/21/1966,Alaska Coastal Airlines,9,9
09/01/1966,Britannia Airways,117,98
09/04/1966,Indian Airlines,4,4
09/16/1966,Iberia Airlines,27,1
09/22/1966,Ansett ANA,24,24
09/22/1966,Avianca,2,2
10/01/1966,West Coast Airlines,18,18
10/08/1966,Petroleum Helicopter,11,11
11/17/1975,Aeroflot,38,38
10/09/1966,Warsaw Aviation - Taxi,6,6
11/02/1966,Gastonia Aviation - Taxi,2,2
11/06/1966,Chester Airport,3,3
11/13/1966,All Nippon Airways,50,50
11/15/1966,Pan American Airways,3,3
11/20/1966,Piedmont Airlines,3,3
11/22/1966,Aden Airways,30,30
11/24/1966,Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,82,82
12/01/1966,Cruzeiro do Sul,11,9
12/02/1966,Aeroflot,21,21
12/18/1966,Aerocondor de Colombia,59,17
12/24/1966,Flying Tiger Line,4,4
12/24/1966,AVIANCA,29,29
01/05/1967,Red Bank Air Taxi,9,9
01/06/1967,Channel Air Lift,3,3
01/17/1967,Air Taxi,3,3
01/21/1967,Air Ferry,2,2
02/06/1967,Syrian Arab Airlines,19,1
11/03/1967,Sadia,25,21
02/07/1967,Avanti Aviation -Air Taxi,2,2
02/07/1967,Misrair,30,30
02/09/1967,Cubana de Aviacion,10,10
02/10/1967,Swissair,4,4
02/15/1967,Vercoa Air Service - Air Taxi,2,2
02/16/1967,Garuda Indonesia Airlines,63,22
02/20/1967,Sahsa Airlines,55,4
02/28/1967,Philippine Air Lines,20,12
03/04/1967,Varig,90,51
03/05/1967,Lake Central Airlines,38,38
03/08/1967,Compagnie Air Transport,6,4
03/09/1967,Trans World Airlines / Private,26,26
03/10/1967,West Coast Airlines,4,4
03/11/1967,Aeralpi,5,4
03/13/1967,South African Airways,25,25
03/16/1967,Harvey's Flying Service - Air Taxi,2,2
03/27/1967,Harold E. Bell - Air Taxi,2,2
03/30/1967,Delta Air Lines,6,6
04/01/1967,Ace Flying Service,2,2
04/02/1967,Caribbean Airlines,5,5
04/03/1967,Lexington Air Taxi,9,9
04/11/1967,Air Algerie,39,35
04/20/1967,Globe Air,130,126
04/27/1967,AVIANCA,18,17
04/27/1967,Pelita Air Service,21,19
05/01/1967,Greylock Airways / Private,14,3
05/04/1967,Greenbriar Airways,4,4
05/15/1967,Nordair,4,4
05/19/1967,Air Canada,3,3
06/03/1967,Air Ferry Ltd,88,88
06/04/1967,British Midland Airways,84,72
06/11/1967,Saudi Arabian Airlines,18,17
06/12/1967,Aer Turas,2,2
06/12/1967,Aeronaves de Mexico,4,3
06/22/1967,Aer Lingus,3,3
06/23/1967,Mohawk Airlines,34,34
06/24/1967,Saudi Arabian Airlines,17,16
06/30/1967,Thai International,80,24
07/06/1967,Philippine Air Lines,21,21
07/19/1967,Air Madagascar,42,42
07/19/1967,Piedmont Airlines / Private,82,82
07/25/1967,Vehu Akat,16,16
07/25/1967,Taiwan Aviation,18,18
07/26/1967,Hudgin Air Service,7,7
09/05/1967,Ceskoslovenske Aerolinie,69,37
09/08/1967,Lester C. Bush - Air Taxi,8,3
10/08/1967,Inter Island Air - Air Taxi,3,2
10/12/1967,British European Airways,66,66
10/13/1967,Bruns Air Service - Air Taxi,4,4
10/24/1967,China Airlines (Taiwan),16,16
11/04/1967,Crest Airlines - Air Taxi,2,2
11/04/1967,Iberia Airlines,37,37
11/05/1967,Cathay PacifiAirways,127,1
11/06/1967,Trans World Airlines,36,1
11/16/1967,Aeroflot,130,130
11/20/1967,Trans World Airlines,82,70
11/23/1967,Livingston Helicopter - Air Taxi,5,5
11/25/1967,Priority Air - Air Taxi,3,3
12/07/1967,Lao Cathay Airlines,12,10
12/08/1967,Faucett,72,72
12/10/1967,Private,8,7
12/13/1967,Kauai Helicopter - Air Taxi,3,2
12/15/1967,Tulakes Aviaiton - Air Taxi,6,2
12/21/1967,Frontier Airlines,2,2
12/25/1967,Thai Airways,31,4
12/30/1967,Aeroflot,51,44
12/31/1967,Executive Air - Air Taxi,6,6
01/08/1968,Imperial Comm - Air Taxi,4,3
01/08/1968,Tanana Air Taxi,5,2
01/15/1968,United Arab Airlines,4,4
01/16/1968,Mililtary - U.S. Navy,12,12
01/27/1968,Air Comores,16,15
02/07/1968,Canadian PacifiAir Lines,61,1
02/16/1968,Civil Air Transport,63,21
02/21/1968,Havasu City Air - Air Taxi,3,3
02/24/1968,Royal Air Lao,37,37
02/29/1968,Aeroflot,82,82
03/06/1968,Air France,63,63
03/08/1968,Air Manila,14,14
03/19/1968,Viking Airways - Air Taxi,2,2
03/23/1968,Fortaire Aviation - Air Taxi,5,3
03/24/1968,Aer Lingus,61,61
03/27/1968,Ozark Air Lines / Private,51,2
04/08/1968,British Overseas Airways,127,5
04/08/1968,Ladeco,36,36
04/10/1968,Canair Corp. - Air Taxi,4,4
04/10/1968,Aerovias Rojas,18,18
04/20/1968,South African Airways,128,123
04/22/1968,Aeroflot,5,5
04/27/1968,Utility Helocopter - Air Taxi,5,5
05/03/1968,Braniff Airlines,85,85
05/14/1968,Phillips Flying Service - Air Taxi,4,4
05/22/1968,Los Angeles Airways,23,23
05/28/1968,Garuda Indonesia Airlines,29,29
06/01/1968,Houston-Beech - Air Taxi,4,3
06/13/1968,Pan American World Airways,63,6
06/18/1968,Rinaldo Piaggio,6,6
06/28/1968,Purdue Airlines Inc.,27,1
07/03/1968,BKS Air Transport,8,6
07/07/1968,Red Aircraft Service - Air Taxi,4,4
07/08/1968,Saudi Arabian Airlines,11,11
07/13/1968,Sabena,7,7
07/15/1968,Varig,3,3
07/18/1968,Aerolineas Flecha Austral,5,5
08/01/1968,Mid Island Air - Air Taxi,3,3
08/02/1968,Aitalia,95,13
08/04/1968,North Central Airlines / Private,15,3
08/09/1968,British Eagle International Airlines,48,48
08/10/1968,Piedmont Airlines,37,35
03/08/1969,Continental Air Transport,3,3
08/14/1968,Los Angeles Airways,21,21
08/18/1968,United Arab Airlines,40,40
08/20/1968,Linea Aeropostal Venezolana,7,4
08/28/1968,Island Sky Ferry - Air Taxi,2,0
08/31/1968,Westwing,6,5
09/03/1968,Bulair TABSO,89,47
09/08/1968,Far Aviation - Air Taxi / Speeds Flying - Air Taxi,9,2
09/11/1968,Air France,95,95
09/28/1968,Pan African Airlines,57,57
10/01/1968,Kenai Air Service - Air Taxi,3,3
10/08/1968,Catalina - Vega - Air Taxi,4,4
10/08/1968,Aerovias del Valle,10,10
10/10/1968,Augusta Aviaiton - Air Taxi,3,2
10/11/1968,Ceskoslovenske Aerolinie,40,11
10/20/1968,Cruzeiro,19,19
10/25/1968,Northeast Airlines,42,32
11/21/1968,Barrow Air Service - Air Taxi,8,7
11/22/1968,Japan Air Lines,107,0
11/23/1968,Cable Commuter,9,9
11/25/1968,Air America,28,26
11/26/1968,Stikine Air Service - Air Taxi,5,2
12/02/1968,Wien Consolidated Airlines,39,39
12/06/1968,Conquest Airways - Air Taxi,11,3
12/08/1968,Northwest Moon - Air Taxi,3,3
12/12/1968,Pan American World Airways,51,51
12/24/1968,Allegheny Airlines,47,20
12/24/1968,Interior Airways,4,2
12/26/1968,Pan American World Airways,3,3
12/26/1968,Exportada De Sal S.A.,12,12
12/27/1968,North Central Airlines,45,27
03/13/1969,Wien Consolidated Airlines,5,1
12/31/1968,MaRobertson-Miller Airlines,26,26
12/31/1968,Servicios Aéreos Especiales,26,26
01/02/1969,China Airlines (Taiwan),24,24
01/02/1969,ERA Helicopter,2,2
01/05/1969,Ariana Afghan Airlines,65,50
01/06/1969,Allegheny Airlines,28,11
01/06/1969,China Air Lines,24,24
01/13/1969,Scandinavian Airlines (SAS),45,15
01/16/1969,Air America,12,12
01/18/1969,United Air Lines,38,38
02/05/1969,Pudget Sound Air - Air Taxi,10,10
02/18/1969,Mineral County Airlines,35,35
02/24/1969,Far Eastern Air Transport,36,36
03/05/1969,Prinair,19,19
03/16/1969,Venezolana Internacional de Aviacion,84,84
03/19/1969,Leamon Flying Service,3,3
03/20/1969,United Arab Airlines,105,100
03/20/1969,Avion Airways,27,16
04/02/1969,Islands of the Bahamas Inc,2,2
04/02/1969,LOT Polish Airlines,53,53
04/07/1969,Air Canada,21,1
04/16/1969,Wigmo,45,45
04/19/1969,Simpson Air Service - Air Taxi,9,9
04/21/1969,Indian Airlines,44,44
04/24/1969,Ghana Airways,33,1
05/05/1969,Argentina CAA,11,11
05/07/1969,Flying W Airways,2,2
05/23/1969,Union of Burma Airways,6,6
05/25/1969,Aero Transporti Italiani,36,1
06/04/1969,Compania Mexicana de Aviacion,79,79
06/05/1969,Eureka Aero Inc. - Air Taxi,3,3
06/20/1969,Cascade Airways,2,2
07/06/1969,Air South,14,14
07/12/1969,Royal Nepal Airlines,35,35
07/13/1969,Interior Airways - Air Taxi,2,2
07/15/1969,New York Airways,14,3
07/24/1969,Safeway Airways,4,4
07/25/1969,Trans Isle Air,13,1
07/26/1969,Trans World Airlines,5,5
07/26/1969,Air Algerie,37,33
07/30/1969,Halvorson - Air Taxi,3,3
08/03/1969,Canairelief Air,4,4
08/05/1969,Prior Aviatoin - Air Taxi,3,3
08/19/1969,Air America,13,13
08/25/1969,TAO,1,1
08/26/1969,Aeroflot,112,16
12/03/1969,Air France,62,62
12/06/1969,Aeroflot,8,8
08/31/1969,Private Charter,3,3
09/08/1969,SATENA,28,28
09/09/1969,Allegheny Airlines / Forth Corporation,83,83
09/12/1969,Philippine Air Lines,47,45
09/14/1969,VASP,21,20
09/17/1969,PacifiWestern Airlines,15,4
09/20/1969,Air Vietnam (South Vietnam),76,74
09/21/1969,Mexicana,118,27
09/26/1969,Lloyd Aereo Boliviano,74,74
09/26/1969,Nordchurchaid,5,5
10/03/1969,Metro Commuter - Air Taxi,5,5
11/09/1969,Austin Airways,4,2
11/12/1969,Channel Flying Service - Air Taxi,2,2
11/13/1969,Aeroflot,9,9
11/19/1969,Mohawk Airlines,14,14
11/20/1969,Nigeria Airways,87,87
12/08/1969,OlympiAirways,90,90
12/10/1969,Aroostook Air - Air Taxi,3,3
12/22/1969,Air Vietnam (South Vietnam),77,10
12/23/1969,Air Laos,19,15
01/01/1970,Galena Air Service - Air Taxi,4,2
01/05/1970,Spantax,10,5
01/13/1970,Polynesian Airlines,32,32
01/14/1970,Faucett,28,28
01/24/1970,Buckeye Air Service - Air Taxi,2,2
01/25/1970,Charter -Federal Electricity Commission,19,19
01/25/1970,Royal Nepal Airlines,23,1
01/28/1970,Aeroflot,34,34
01/28/1970,TAG Airlines,9,9
01/29/1970,Aeroflot,11,11
02/04/1970,Aerolineas Argentinas,37,37
02/04/1970,Tarom,22,21
02/06/1970,Aeroflot,92,92
02/10/1970,Pilgrim Airlines,5,5
02/12/1970,Lineas Aéreas La Urraca,12,12
02/15/1970,Compania Dominicana de Aviacion,102,102
02/18/1970,Suburban Airlines - Air Taxi,4,4
02/19/1970,Air Congo,17,17
02/21/1970,Swissair,47,47
03/06/1970,Bavaria Flug,11,11
03/14/1970,Paraense Transportes Aereos,40,38
03/22/1970,Commuter Airline - Air Taxi,11,3
03/26/1970,Grand Canyon Airlines,6,6
04/01/1970,Royal Air Maroc,82,61
04/01/1970,Aeroflot,45,45
04/02/1970,East Coast Air - Air Taxi,3,3
04/21/1970,Philippine Air Lines,36,36
04/28/1970,Trans Australia Airlines,11,8
05/02/1970,Antillian Airlines,63,23
05/06/1970,Somali Airlines,30,5
05/09/1970,Philippine Air Lines,33,1
05/09/1970,Executive Jet Sales Inc.,6,6
05/15/1970,Aeroflot,11,11
05/22/1970,Linea Aeropostal Venezolana,6,6
05/26/1970,Aeroservice S de RL,6,6
05/30/1970,Lehigh Acres Development Inc.,33,1
06/01/1970,Ceskoslovenske Aerolinie,13,13
06/02/1970,Philippine Air Lines,44,1
06/10/1970,LADE,8,5
07/03/1970,Reeder Flying Service,27,5
07/03/1970,Dan Air Services,112,112
07/05/1970,Air Canada,109,109
07/24/1970,Del Rio Flying Service - Air Taxi,7,7
07/27/1970,Flying Tiger Line,4,4
08/06/1970,Pakistan International Airlines,30,30
08/09/1970,Lineas Aereas Nacionales SA (Peru),100,99
08/12/1970,China Airlines (Taiwan),31,14
08/29/1970,Indian Airlines,39,39
08/30/1970,Dutch Continental Airways,10,3
09/02/1970,Aeroflot,37,37
09/03/1970,Aeroflot,22,22
09/08/1970,Trans International Airlines,11,11
09/09/1970,San Juan Air,1,1
09/22/1970,Eagle Flight - Air Taxi,4,4
09/26/1970,Icelandair,34,8
09/30/1970,Air Vietnam (South Vietnam),38,38
10/01/1970,Aeroflot,8,8
10/02/1970,"Charter, Golden Eagle Aviation Inc.",40,30
10/04/1970,Private,2,2
10/06/1970,National Airways,11,3
10/10/1970,Saturn Airways,3,3
10/16/1970,Delaware Aviation - Air Taxi,2,2
10/28/1970,Aerocosta Colombia,4,2
11/14/1970,Southern Airways,75,75
11/27/1970,Capital Airlines,229,47
12/02/1970,Cargolux,4,4
12/05/1970,Jamair,16,5
12/07/1970,Tarom,27,18
12/19/1970,Aeroflot,25,25
12/28/1970,Trans Caribbean Airways,55,2
12/30/1970,Pakistan International Airlines,35,7
12/31/1970,Rousseau Aviaiton,31,31
12/31/1970,Aeroflot,93,93
01/02/1971,United Arab Airlines,16,16
01/09/1971,American Airlines / Private,21,2
01/18/1971,Balkan Bulgarian Airlines,47,45
01/21/1971,L'Armée de L'Air,21,21
01/21/1971,Fuerza Aérea del Peru,35,35
01/22/1971,Aeroflot,13,13
10/02/1988,Aramar,8,8
01/23/1971,Korean Airlines,60,2
01/25/1971,Linea Aeropostal Venezolana,48,18
01/31/1971,Aeroflot,7,7
02/07/1971,Jamie Ramirez - Air Taxi,3,3
02/17/1971,TAME,12,12
03/26/1971,Jamair,15,15
03/31/1971,Western Airlines,5,5
03/31/1971,Aeroflot,64,64
04/20/1971,Monument Valle - Air Taxi,2,2
04/21/1971,Costal Airway,8,8
04/22/1971,New England Aviaiton,4,4
05/06/1971,Apache Airlines - Air Taxi,12,12
05/11/1971,Aviateca,35,5
05/12/1971,Gay Airways - Air Taxi,4,2
05/23/1971,Aviogenex (Yugoslavia),83,78
05/28/1971,Private,6,6
08/28/1971,Malev Hungarian Airlines,34,32
12/06/1971,Sudan Airways,42,10
06/07/1971,Allegheny Airlines,31,28
06/17/1971,SAVCO,6,6
06/27/1971,Shelter Cove Sea Park,24,17
07/03/1971,Toa DomestiAirline (Japan),68,68
07/21/1971,Anchorage Helicopter - Air Taxi,3,3
07/24/1971,Air Ivoire,6,6
07/25/1971,Pan American World Airways,4,4
07/25/1971,Aeroflot,126,97
07/30/1971,All Nippon Airways /  Japanese Air Force,164,163
07/30/1971,Pan American World Airways,218,0
08/07/1971,Aeroflot,100,100
08/12/1971,Trans Alaska Helicopter - Air Taxi,2,2
08/19/1971,Downeast Airlines,8,3
12/09/1971,Indian Airlines,31,21
09/04/1971,Alaska Airlines,111,111
09/06/1971,Pan International,121,22
09/15/1971,C and C Aviaiton - Air Taxi,5,5
09/16/1971,Yemen Airlines,5,5
09/16/1971,Malev Hungarian Airlines,49,49
09/28/1971,Cruzeiro,32,32
10/02/1971,British European Airways,63,63
10/13/1971,Aeroflot,20,20
10/16/1971,SceniAir Lines,10,10
10/16/1971,Alpena Flying Service - Air Taxi,6,6
10/17/1971,Aerolineas TAO,22,20
10/21/1971,Chicago Southern Airlines,16,16
10/24/1971,Monmouth Airways,8,4
11/10/1971,Merpati Nusantara Airlines,69,69
11/12/1971,Aeroflot,47,47
11/21/1971,China Airlines (Taiwan),25,25
12/01/1971,Aeroflot,57,57
12/04/1971,Eastern Air Lines,29,2
02/22/1991,Fuerza Area Angolaise,47,47
12/21/1971,Balkan Bulgarian Airlines,73,28
12/24/1971,Lineas Aereas Nacionales SA (Peru),92,91
01/06/1972,SAESA,23,23
01/07/1972,Iberia Airlines,104,104
01/18/1972,Kime Flying Service - Air Taxi,3,3
01/21/1972,Turkish Airlines (THY),8,1
01/21/1972,Lineas Aéreas la Urraca,20,20
01/21/1972,SATENA,39,39
01/26/1972,JAT Yugoslav Airlines,28,27
02/01/1972,PENAS,9,6
02/04/1972,Air America,38,1
02/04/1972,Clarkes Thunder - Air Taxi,2,2
02/05/1972,TAC Colombia,19,19
02/11/1972,Royal Air Lao,23,23
02/16/1972,Hankins Airways - Air Taxi,2,2
02/20/1972,Sun Valley Airways - Air Taxi,4,4
02/22/1972,Alii Air Hawaii - Air Taxi,8,8
03/03/1972,Mohawk Airlines,48,16
03/14/1972,Sterling Airways,112,112
03/19/1972,EgyptAir,22,22
04/06/1972,AVENSA,2,2
04/12/1972,VASP,25,25
04/16/1972,Aero Transporti Italiani,18,18
04/17/1972,Helaire Helicopter,3,3
04/18/1972,East African Airways,107,43
04/20/1972,SATCO,6,6
04/24/1972,Air America,10,4
05/04/1972,Aeroflot,18,18
05/05/1972,Alitalia,115,115
05/08/1972,Aerotechnia,7,7
05/19/1972,Ross Aviation - Air Taxi,9,9
05/21/1972,DTA Angola Airlines,25,22
05/27/1972,General Air,13,8
05/29/1972,Petrolium Helicopter,11,11
05/29/1972,Amazonese Importacao e Exportacao,18,9
05/30/1972,Delta Air Lines,4,4
06/01/1972,Fairbanks Air - Air Taxi,2,2
06/03/1972,Smyer Aircraft - Air Taxi,2,2
06/05/1972,Air America,32,32
06/13/1972,Aerolineas Flecha Austral,3,3
06/14/1972,Japan Air Lines,87,82
06/15/1972,Cathay PacifiAirways,81,81
06/18/1972,Air Central,5,5
06/18/1972,Aeroflot,122,122
06/18/1972,British European Airways,118,118
06/24/1972,Prinair,20,5
06/25/1972,Seventy Airways - Air Taxi,3,3
06/29/1972,North Central Airlines / Air Wisconsin,13,13
06/29/1972,Inter City Flug,8,7
06/30/1972,Casino Air - Air Taxi,5,2
07/05/1972,PacifiSouthwest Airlines,86,3
07/06/1972,Aviaco,10,10
07/20/1972,Charter,84,1
07/29/1972,AVIANCA / AVIANCA,38,38
08/12/1972,Indian Airlines,18,18
08/14/1972,Interflug,156,156
08/16/1972,Burma Airways,31,26
08/27/1972,Lineas Areas Venezolanas,34,34
08/31/1972,Aeroflot,101,101
09/01/1972,Ansett Airlines of Papua New Guinea,4,4
09/07/1972,Servicios Aereas Virgen de Copacabana,8,1
09/10/1972,Ethiopian Airlines,11,11
09/24/1972,Private,1,0
09/24/1972,Air Vietnam (South Vietnam),13,10
09/30/1972,Spantax,6,1
10/02/1972,Cambodia Air,9,9
10/02/1972,Aeroflot,109,109
10/12/1972,Flamingo Airlines - Air Taxi,2,2
10/13/1972,Aeroflot,174,174
10/13/1972,Uruguayan Air Force - TAMU,45,29
10/16/1972,Private,4,4
10/21/1972,OlympiAirways,53,37
10/23/1972,Air Melanesie,8,1
10/27/1972,Air Inter,68,60
10/30/1972,Aero Transporti Italiani,27,27
11/04/1972,Balkan Bulgarian Airlines,35,35
11/17/1972,Metro Air Systems,11,11
11/28/1972,Japan Air Lines,76,62
11/29/1972,Luthi Aviation - Air Taxi,2,2
12/03/1972,Spantax,155,155
12/05/1972,EgyptAir,6,6
12/06/1972,Superior Airways,3,3
12/08/1972,Pakistan International Airlines,26,26
02/12/1973,Red Carpet Flying Service - Air Taxi,4,4
12/08/1972,United Air Lines,61,43
12/15/1972,Zantop Airways,2,2
12/20/1972,Delta Air Lines/ North Central Airlines,133,10
12/21/1972,Air Guadeloupe,13,13
12/23/1972,Braathens,45,40
12/29/1972,Eastern Air Lines,176,103
12/31/1972,American Express Leasing,5,5
01/02/1973,PacifiWestern Airlines,5,5
01/19/1973,British European Airways,4,4
01/22/1973,Aeroflot,44,44
01/22/1973,Alia Royal Jordanian Airlines,202,176
01/27/1973,Air Transit - Air Taxi,4,3
01/27/1973,TAN,3,3
01/29/1973,Air Sinai,37,37
01/31/1973,Harry Faulkner - Air Taxi,2,2
02/19/1973,Aeroflot,100,66
02/19/1973,Petrolium Helo Inc.,5,5
02/21/1973,Aerovias Urraca,28,22
02/21/1973,Libya Arab Airlines,113,110
02/22/1973,Air Taxi,2,2
02/24/1973,Aeroflot,79,79
02/28/1973,Aeroflot,32,32
02/28/1973,Merpati Nusantara Airlines,13,13
03/03/1973,Balkan Bulgarian Airlines,25,25
03/05/1973,Aviaco,3,3
03/05/1973,Lineas Aereas de Espana/Spantax SA Transportes,182,68
03/07/1973,Air America,4,4
03/15/1973,Indian Airlines,3,3
03/19/1973,Air Vietnam (South Vietnam),62,62
04/10/1973,Invicta International Airlines (UK),145,108
